alpha,beta,Cz
-20,-30,1.149
-20,-25,1.214
-20,-20,1.264
-20,-15,1.246
-20,-10,1.294
-20,-8,1.327
-20,-6,1.283
-20,-4,1.266
-20,-2,1.245
-20,0,1.228
-20,2,1.258
-20,4,1.257
-20,6,1.268
-20,8,1.265
-20,10,1.236
-20,15,1.196
-20,20,1.154
-20,25,1.109
-20,30,1.063
-15,-30,0.948
-15,-25,0.995
-15,-20,1.021
-15,-15,1.047
-15,-10,1.043
-15,-8,1.04
-15,-6,1.037
-15,-4,1.042
-15,-2,1.05
-15,0,1.059
-15,2,1.066
-15,4,1.048
-15,6,1.051
-15,8,1.04
-15,10,1.053
-15,15,1.051
-15,20,1.031
-15,25,0.999
-15,30,0.955
-10,-30,0.755
-10,-25,0.778
-10,-20,0.777
-10,-15,0.788
-10,-10,0.801
-10,-8,0.799
-10,-6,0.803
-10,-4,0.804
-10,-2,0.812
-10,0,0.815
-10,2,0.813
-10,4,0.805
-10,6,0.804
-10,8,0.8
-10,10,0.797
-10,15,0.776
-10,20,0.769
-10,25,0.765
-10,30,0.747
-5,-30,0.32
-5,-25,0.32
-5,-20,0.327
-5,-15,0.332
-5,-10,0.35
-5,-8,0.365
-5,-6,0.37
-5,-4,0.372
-5,-2,0.357
-5,0,0.356
-5,2,0.352
-5,4,0.349
-5,6,0.343
-5,8,0.337
-5,10,0.328
-5,15,0.317
-5,20,0.309
-5,25,0.295
-5,30,0.306
0,-30,0.086
0,-25,0.061
0,-20,0.041
0,-15,0.039
0,-10,0.052
0,-8,0.056
0,-6,0.062
0,-4,0.062
0,-2,0.061
0,0,0.064
0,2,0.062
0,4,0.061
0,6,0.058
0,8,0.053
0,10,0.047
0,15,0.035
0,20,0.049
0,25,0.044
0,30,0.076
5,-30,-0.192
5,-25,-0.232
5,-20,-0.262
5,-15,-0.279
5,-10,-0.28
5,-8,-0.284
5,-6,-0.281
5,-4,-0.287
5,-2,-0.287
5,0,-0.287
5,2,-0.289
5,4,-0.291
5,6,-0.289
5,8,-0.291
5,10,-0.293
5,15,-0.292
5,20,-0.275
5,25,-0.244
5,30,-0.205
10,-30,-0.455
10,-25,-0.522
10,-20,-0.575
10,-15,-0.611
10,-10,-0.624
10,-8,-0.632
10,-6,-0.641
10,-4,-0.647
10,-2,-0.65
10,0,-0.65
10,2,-0.651
10,4,-0.646
10,6,-0.642
10,8,-0.638
10,10,-0.635
10,15,-0.622
10,20,-0.587
10,25,-0.524
10,30,-0.463
15,-30,-0.714
15,-25,-0.784
15,-20,-0.846
15,-15,-0.898
15,-10,-0.933
15,-8,-0.949
15,-6,-0.967
15,-4,-0.976
15,-2,-0.977
15,0,-0.98
15,2,-0.98
15,4,-0.978
15,6,-0.977
15,8,-0.963
15,10,-0.951
15,15,-0.923
15,20,-0.864
15,25,-0.79
15,30,-0.717
20,-30,-1.005
20,-25,-1.088
20,-20,-1.161
20,-15,-1.223
20,-10,-1.263
20,-8,-1.284
20,-6,-1.299
20,-4,-1.306
20,-2,-1.302
20,0,-1.306
20,2,-1.292
20,4,-1.289
20,6,-1.287
20,8,-1.279
20,10,-1.266
20,15,-1.22
20,20,-1.146
20,25,-1.09
20,30,-1.005
25,-30,-1.313
25,-25,-1.378
25,-20,-1.445
25,-15,-1.509
25,-10,-1.56
25,-8,-1.566
25,-6,-1.583
25,-4,-1.59
25,-2,-1.595
25,0,-1.594
25,2,-1.597
25,4,-1.595
25,6,-1.595
25,8,-1.584
25,10,-1.566
25,15,-1.505
25,20,-1.445
25,25,-1.374
25,30,-1.307
30,-30,-1.418
30,-25,-1.498
30,-20,-1.578
30,-15,-1.663
30,-10,-1.746
30,-8,-1.825
30,-6,-1.848
30,-4,-1.861
30,-2,-1.861
30,0,-1.863
30,2,-1.863
30,4,-1.856
30,6,-1.836
30,8,-1.816
30,10,-1.795
30,15,-1.735
30,20,-1.613
30,25,-1.557
30,30,-1.47
35,-30,-1.542
35,-25,-1.629
35,-20,-1.719
35,-15,-1.819
35,-10,-1.919
35,-8,-1.977
35,-6,-2.033
35,-4,-2.064
35,-2,-2.079
35,0,-2.09
35,2,-2.081
35,4,-2.075
35,6,-2.067
35,8,-2.034
35,10,-1.989
35,15,-1.896
35,20,-1.8
35,25,-1.696
35,30,-1.613
40,-30,-1.671
40,-25,-1.768
40,-20,-1.86
40,-15,-1.967
40,-10,-2.074
40,-8,-2.077
40,-6,-2.151
40,-4,-2.184
40,-2,-2.199
40,0,-2.216
40,2,-2.192
40,4,-2.194
40,6,-2.084
40,8,-2.11
40,10,-2.111
40,15,-1.996
40,20,-1.9
40,25,-1.787
40,30,-1.702
45,-30,-1.615
45,-25,-1.577
45,-20,-1.77
45,-15,-1.963
45,-10,-2.13
45,-8,-2.217
45,-6,-2.182
45,-4,-2.216
45,-2,-2.306
45,0,-2.253
45,2,-2.304
45,4,-2.304
45,6,-2.242
45,8,-2.235
45,10,-2.21
45,15,-2.121
45,20,-1.819
45,25,-1.654
45,30,-1.696
50,-30,-1.406
50,-25,-1.592
50,-20,-1.716
50,-15,-1.944
50,-10,-2.026
50,-8,-2.081
50,-6,-2.081
50,-4,-2.033
50,-2,-2.031
50,0,-2.097
50,2,-2.118
50,4,-2.131
50,6,-2.142
50,8,-2.062
50,10,-2.129
50,15,-2.047
50,20,-1.819
50,25,-1.695
50,30,-1.509
55,-30,-1.688
55,-25,-1.738
55,-20,-1.721
55,-15,-1.809
55,-10,-2.014
55,-8,-2.048
55,-6,-2.112
55,-4,-2.1
55,-2,-2.058
55,0,-2.088
55,2,-2.067
55,4,-1.972
55,6,-2.016
55,8,-2.019
55,10,-2.025
55,15,-1.82
55,20,-1.732
55,25,-1.749
55,30,-1.669
60,-30,-1.724
60,-25,-1.793
60,-20,-1.8
60,-15,-1.756
60,-10,-1.949
60,-8,-1.923
60,-6,-1.975
60,-4,-1.99
60,-2,-2.005
60,0,-2.051
60,2,-2.021
60,4,-1.914
60,6,-1.956
60,8,-1.998
60,10,-1.985
60,15,-1.792
60,20,-1.836
60,25,-1.829
60,30,-1.76
70,-30,-1.743
70,-25,-1.754
70,-20,-1.811
70,-15,-1.781
70,-10,-1.839
70,-8,-1.897
70,-6,-2.004
70,-4,-1.999
70,-2,-1.986
